first_name,last_name,email,phone,employee_code,job_title,hire_date,salary,currency,country_code,department_code,active
Lora,Bahringer,lora.bahringer.0@example.com,462-915-7993,EMP-10000,Senior Developer,2020-07-29,64215,EUR,DE,OPS,true
Terrie,Effertz,terrie.effertz.1@example.com,832 826 5249,EMP-10001,Software Engineer,2019-08-06,86710,CAD,CA,HR,true
Velva,Carter,velva.carter.2@example.com,(760) 746-7645,EMP-10002,Data Analyst,2020-02-27,170530,GBP,UK,HR,true
Caleb,Tremblay,caleb.tremblay.3@example.com,824-144-7113,EMP-10003,DevOps Engineer,2017-04-05,60105,JPY,JP,LEG,true
Miguel,Rempel,miguel.rempel.4@example.com,(450) 458-3310,EMP-10004,Sales Representative,2016-07-13,66315,EUR,DE,OPS,true
Mohammed,Marks,mohammed.marks.5@example.com,239 891 5619,EMP-10005,Legal Counsel,2021-08-26,146792,EUR,DE,SAL,true
Jan,Crist,jan.crist.6@example.com,204.407.3537,EMP-10006,System Administrator,2026-02-11,123562,EUR,DE,ENG,true
Kendrick,Maggio,kendrick.maggio.7@example.com,(548) 494-6553,EMP-10007,Product Manager,2022-02-09,175696,AUD,AU,MKT,true
Bernard,Johnson,bernard.johnson.8@example.com,605.673.4236,EMP-10008,HR Specialist,2022-10-06,74442,AUD,AU,OPS,true
Harland,Greenholt,harland.greenholt.9@example.com,(804) 458-2701,EMP-10009,Product Manager,2026-02-08,92059,AUD,AU,LEG,true
Sirena,Koepp,sirena.koepp.10@example.com,(758) 038-3607,EMP-10010,Software Engineer,2025-03-06,128340,CAD,CA,MKT,true
Rose,Schaden,rose.schaden.11@example.com,930-006-6847,EMP-10011,Legal Counsel,2023-02-20,105353,GBP,UK,MKT,true
Tanisha,Braun,tanisha.braun.12@example.com,(196) 828-1600,EMP-10012,Data Analyst,2024-10-30,150486,CAD,CA,IT,true
Thad,Corwin,thad.corwin.13@example.com,(916) 462-5212,EMP-10013,Marketing Coordinator,2022-01-01,141591,CAD,CA,MKT,true
Gail,Rodriguez,gail.rodriguez.14@example.com,370-460-2811,EMP-10014,HR Specialist,2019-07-29,168148,EUR,DE,LEG,true
Romeo,Veum,romeo.veum.15@example.com,685.015.9725,EMP-10015,Product Manager,2019-08-08,93400,GBP,UK,LEG,false
Josphine,Zulauf,josphine.zulauf.16@example.com,704-007-0519,EMP-10016,Software Engineer,2024-10-11,72250,JPY,JP,HR,true
Jimmy,Pfeffer,jimmy.pfeffer.17@example.com,(872) 315-3274,EMP-10017,HR Specialist,2026-03-02,128198,GBP,UK,IT,true
Virgilio,Bernier,virgilio.bernier.18@example.com,196-695-6864,EMP-10018,Senior Developer,2025-10-20,100522,GBP,UK,MKT,true
Buck,Thompson,buck.thompson.19@example.com,387.500.5193,EMP-10019,System Administrator,2023-06-17,81193,JPY,JP,MKT,true
Marianela,Torphy,marianela.torphy.20@example.com,801 489 4656,EMP-10020,Product Manager,2019-08-25,157453,USD,US,LEG,true
Cristobal,Quitzon,cristobal.quitzon.21@example.com,358 232 4180,EMP-10021,Legal Counsel,2018-01-25,180007,USD,US,HR,true
Jadwiga,Ebert,jadwiga.ebert.22@example.com,861 166 1083,EMP-10022,Data Analyst,2026-04-19,120513,AUD,AU,SAL,true
Dwana,Rempel,dwana.rempel.23@example.com,167 096 6825,EMP-10023,Senior Developer,2022-08-08,133985,AUD,AU,FIN,true
Elinor,Effertz,elinor.effertz.24@example.com,(758) 471-1744,EMP-10024,Software Engineer,2017-03-02,151861,CAD,CA,ENG,true
Hiram,Homenick,hiram.homenick.25@example.com,190 497 6042,EMP-10025,System Administrator,2024-08-30,190791,EUR,FR,IT,true
Hilda,Hettinger,hilda.hettinger.26@example.com,(405) 074-0652,EMP-10026,Senior Developer,2024-12-03,126587,INR,IN,SAL,true
Claude,Franecki,claude.franecki.27@example.com,196 235 1892,EMP-10027,Sales Representative,2020-11-02,158573,AUD,AU,MKT,true
Annabell,Yost,annabell.yost.28@example.com,382-668-1392,EMP-10028,Senior Developer,2017-12-13,180999,EUR,FR,ENG,true
Shiela,Krajcik,shiela.krajcik.29@example.com,401.927.8262,EMP-10029,DevOps Engineer,2018-09-21,153071,CAD,CA,FIN,true
Precious,Jacobs,precious.jacobs.30@example.com,827.429.3177,EMP-10030,Legal Counsel,2026-04-12,149437,GBP,UK,OPS,true
Erasmo,Mitchell,erasmo.mitchell.31@example.com,730-627-5670,EMP-10031,HR Specialist,2023-04-25,84827,INR,IN,IT,true
Sherita,Bayer,sherita.bayer.32@example.com,329-885-5859,EMP-10032,System Administrator,2020-02-20,135231,AUD,AU,HR,true
Roxanna,Pollich,roxanna.pollich.33@example.com,922.603.3717,EMP-10033,DevOps Engineer,2018-10-27,76972,JPY,JP,LEG,true
Jerome,Ernser,jerome.ernser.34@example.com,466.423.0759,EMP-10034,Marketing Coordinator,2018-03-05,89247,EUR,FR,SAL,true
Tawanda,Schultz,tawanda.schultz.35@example.com,765 318 0150,EMP-10035,System Administrator,2022-12-28,58881,GBP,UK,HR,true
Suzann,Greenholt,suzann.greenholt.36@example.com,226-627-5658,EMP-10036,Sales Representative,2017-04-15,152735,CAD,CA,IT,true
Bruna,Frami,bruna.frami.37@example.com,989.910.0473,EMP-10037,DevOps Engineer,2017-06-14,75398,CAD,CA,IT,true
Paulita,Gusikowski,paulita.gusikowski.38@example.com,(771) 784-4630,EMP-10038,Product Manager,2019-11-20,99123,USD,US,OPS,true
Gus,Kihn,gus.kihn.39@example.com,(470) 514-6842,EMP-10039,System Administrator,2026-03-22,103198,GBP,UK,SAL,true
Chau,Doyle,chau.doyle.40@example.com,616.265.0470,EMP-10040,Marketing Coordinator,2022-10-29,44913,GBP,UK,MKT,true
Gwyn,Bernhard,gwyn.bernhard.41@example.com,(103) 185-8199,EMP-10041,HR Specialist,2025-10-20,120729,EUR,DE,FIN,true
Julian,Goodwin,julian.goodwin.42@example.com,211-229-4929,EMP-10042,Data Analyst,2019-10-08,170499,AUD,AU,IT,true
